Rank,Song,Artist,Last_Week,Peak_Position,Weeks_on_Chart,Date
81,The Greatest,Billie Eilish,62,24,4,2024-06-22
82,Carnival,¥$: Ye & Ty Dolla $ign Featuring Rich The Kid & Playboi Carti,72,1,18,2024-06-22
83,Hell N Back,Bakar Featuring Summer Walker,77,53,10,2024-06-22
84,After Hours,Kehlani,85,84,3,2024-06-22
85,But Daddy I Love Him,Taylor Swift,66,7,8,2024-06-22
86,My Boy Only Breaks His Favorite Toys,Taylor Swift,71,6,8,2024-06-22
87,Your Place,Ashley Cooke,87,87,3,2024-06-22
88,Get In With Me,BossMan Dlow,81,49,19,2024-06-22
89,"So Long, London",Taylor Swift,70,5,8,2024-06-22
90,Skinny,Billie Eilish,68,18,4,2024-06-22
91,The Diner,Billie Eilish,73,31,4,2024-06-22
92,Obsessed,Olivia Rodrigo,67,14,12,2024-06-22
93,Si No Es Contigo,Cris Mj,82,72,3,2024-06-22
94,The Door,Teddy Swims,94,94,2,2024-06-22
95,Spin You Around (1/24),Morgan Wallen,95,24,19,2024-06-22
96,Beautiful As You,Thomas Rhett,NEW,96,1,2024-06-22
97,Never Let Go,Jung Kook,NEW,97,1,2024-06-22
98,Family Matters,Drake,69,7,6,2024-06-22
99,Back Then Right Now,Tyler Hubbard,92,62,13,2024-06-22
100,Hang Tight Honey,Lainey Wilson,NEW,100,1,2024-06-22
1,Please Please Please,Sabrina Carpenter,2,1,2,2024-06-29
2,I Had Some Help,Post Malone Featuring Morgan Wallen,1,1,6,2024-06-29
3,A Bar Song (Tipsy),Shaboozey,4,3,10,2024-06-29
4,Espresso,Sabrina Carpenter,3,3,10,2024-06-29
5,Million Dollar Baby,Tommy Richman,5,2,8,2024-06-29
6,Not Like Us,Kendrick Lamar,6,1,7,2024-06-29
7,Too Sweet,Hozier,7,1,13,2024-06-29
8,Beautiful Things,Benson Boone,11,2,22,2024-06-29
9,Lose Control,Teddy Swims,10,1,45,2024-06-29
10,Birds Of A Feather,Billie Eilish,9,9,5,2024-06-29
11,Pink Skies,Zach Bryan,12,6,4,2024-06-29
12,Houdini,Eminem,8,2,3,2024-06-29
13,Fortnight,Taylor Swift Featuring Post Malone,13,1,9,2024-06-29
14,Like That,"Future, Metro Boomin & Kendrick Lamar",15,1,13,2024-06-29
15,Cowgirls,Morgan Wallen Featuring ERNEST,17,15,27,2024-06-29
16,"Good Luck, Babe!",Chappell Roan,21,16,11,2024-06-29
17,Saturn,SZA,16,6,17,2024-06-29
18,Lunch,Billie Eilish,14,5,5,2024-06-29
19,We Can't Be Friends (Wait For Your Love),Ariana Grande,18,1,15,2024-06-29
20,Austin,Dasha,19,19,15,2024-06-29
21,Whiskey Whiskey,Moneybagg Yo Featuring Morgan Wallen,NEW,21,1,2024-06-29
22,I Remember Everything,Zach Bryan Featuring Kacey Musgraves,24,1,43,2024-06-29
23,Feather,Sabrina Carpenter,22,21,29,2024-06-29
24,Miles On It,Marshmello & Kane Brown,28,21,7,2024-06-29
25,Wanna Be,GloRilla & Megan Thee Stallion,20,11,11,2024-06-29
26,Lovin On Me,Jack Harlow,26,1,32,2024-06-29
27,High Road,Koe Wetzel & Jessie Murph,29,27,2,2024-06-29
28,Stick Season,Noah Kahan,27,9,38,2024-06-29
29,BAND4BAND,Central Cee & Lil Baby,23,18,4,2024-06-29
30,I Am Not Okay,Jelly Roll,NEW,30,1,2024-06-29
31,Gata Only,FloyyMenor X Cris Mj,31,27,14,2024-06-29
32,Yeah Glo!,GloRilla,32,28,19,2024-06-29
33,Ain't No Love In Oklahoma,Luke Combs,30,23,5,2024-06-29
34,Slow It Down,Benson Boone,36,34,13,2024-06-29
35,Remember Him That Way,Luke Combs,NEW,35,1,2024-06-29
36,Chihiro,Billie Eilish,25,12,5,2024-06-29
37,End Of Beginning,Djo,34,11,18,2024-06-29
38,Get It Sexyy,Sexyy Red,33,20,14,2024-06-29
39,The Man He Sees In Me,Luke Combs,58,39,2,2024-06-29
40,Bulletproof,Nate Smith,37,37,11,2024-06-29
41,Greedy,Tate McRae,38,3,40,2024-06-29
42,Agora Hills,Doja Cat,40,7,39,2024-06-29
43,Where It Ends,Bailey Zimmerman,46,32,25,2024-06-29
44,Stargazing,Myles Smith,45,41,6,2024-06-29
45,I Can Do It With A Broken Heart,Taylor Swift,44,3,9,2024-06-29
46,I Like The Way You Kiss Me,Artemas,42,12,13,2024-06-29
47,Devil Is A Lie,Tommy Richman,NEW,47,1,2024-06-29
48,Whatever She Wants,Bryson Tiller,48,19,18,2024-06-29
49,Sweet Dreams,Koe Wetzel,35,35,5,2024-06-29
50,One Of Wun,Gunna,39,26,6,2024-06-29
51,Type Shit,"Future, Metro Boomin, Travis Scott & Playboi Carti",43,2,13,2024-06-29
52,Euphoria,Kendrick Lamar,47,3,8,2024-06-29
53,Dirt Cheap,Cody Johnson,56,53,9,2024-06-29
54,Red Wine Supernova,Chappell Roan,67,54,3,2024-06-29
55,Hot To Go!,Chappell Roan,68,55,3,2024-06-29
56,Wild Ones,Jessie Murph & Jelly Roll,55,35,37,2024-06-29
57,Wildflower,Billie Eilish,41,17,5,2024-06-29
58,Attitude,Don Toliver Featuring Charlie Wilson & Cash Cobain,RE- ENTRY,58,2,2024-06-29
59,U My Everything,Sexyy Red & Drake,53,44,4,2024-06-29
60,Illusion,Dua Lipa,59,43,10,2024-06-29
61,Brother Stone,Don Toliver Featuring Kodak Black,NEW,61,1,2024-06-29
62,Nasty,Tinashe,69,62,3,2024-06-29
63,We Ride,Bryan Martin,62,61,11,2024-06-29
64,Down Bad,Taylor Swift,54,2,9,2024-06-29
65,Si No Quieres No,Luis R Conriquez x Neton Vega,57,53,7,2024-06-29
66,Think I'm In Love With You,Chris Stapleton,50,49,7,2024-06-29
67,Wind Up Missin' You,Tucker Wetmore,63,63,12,2024-06-29
68,Wine Into Whiskey,Tucker Wetmore,78,68,13,2024-06-29
69,Close To You,Gracie Abrams,49,49,2,2024-06-29
70,L'amour De Ma Vie,Billie Eilish,51,22,5,2024-06-29
71,The Thin Grey Line,$uicideboy$,NEW,71,1,2024-06-29
72,Scared To Start,Michael Marcagi,65,54,18,2024-06-29
73,Bandit,Don Toliver,RE- ENTRY,38,17,2024-06-29
74,The Boy Is Mine,Ariana Grande,64,16,7,2024-06-29
75,Halfway To Hell,Jelly Roll,52,48,11,2024-06-29
76,The Door,Teddy Swims,94,76,3,2024-06-29
77,Texas Hold 'Em,Beyonce,74,1,19,2024-06-29
78,Tore Up,Don Toliver,NEW,78,1,2024-06-29
79,Belong Together,Mark Ambor,76,74,8,2024-06-29
80,Your Place,Ashley Cooke,87,80,4,2024-06-29
81,After Hours,Kehlani,84,81,4,2024-06-29
82,360,Charli xcx,73,73,2,2024-06-29
83,Who's Afraid Of Little Old Me?,Taylor Swift,72,9,9,2024-06-29
84,Blue,Billie Eilish,66,25,5,2024-06-29
85,Beautiful As You,Thomas Rhett,96,85,2,2024-06-29
86,Burgundy,$uicideboy$,NEW,86,1,2024-06-29
87,Hell N Back,Bakar Featuring Summer Walker,83,53,11,2024-06-29
88,Guilty As Sin?,Taylor Swift,80,10,9,2024-06-29
89,Enough (Miami),Cardi B,75,9,14,2024-06-29
90,Pink Pony Club,Chappell Roan,NEW,90,1,2024-06-29
91,Thorns,$uicideboy$,NEW,91,1,2024-06-29
92,Ice Age,Don Toliver Featuring Travis Scott,NEW,92,1,2024-06-29
93,Take Her Home,Kenny Chesney,71,71,6,2024-06-29
94,Let Your Boys Be Country,Jason Aldean,RE- ENTRY,94,2,2024-06-29
95,Front Door Famous,Luke Combs,NEW,95,1,2024-06-29
96,Spin You Around (1/24),Morgan Wallen,95,24,20,2024-06-29
97,Get In With Me,BossMan Dlow,88,49,20,2024-06-29
98,Kryptonite,Don Toliver,NEW,98,1,2024-06-29
99,Carnival,¥$: Ye & Ty Dolla $ign Featuring Rich The Kid & Playboi Carti,82,1,19,2024-06-29
100,Chevrolet,Dustin Lynch Featuring Jelly Roll,NEW,100,1,2024-06-29
1,I Had Some Help,Post Malone Featuring Morgan Wallen,2,1,7,2024-07-06
2,A Bar Song (Tipsy),Shaboozey,3,2,11,2024-07-06
3,Not Like Us,Kendrick Lamar,6,1,8,2024-07-06
4,Espresso,Sabrina Carpenter,4,3,11,2024-07-06
5,Please Please Please,Sabrina Carpenter,1,1,3,2024-07-06
6,Million Dollar Baby,Tommy Richman,5,2,9,2024-07-06
7,Too Sweet,Hozier,7,1,14,2024-07-06
8,Beautiful Things,Benson Boone,8,2,23,2024-07-06
9,Lose Control,Teddy Swims,9,1,46,2024-07-06
10,Birds Of A Feather,Billie Eilish,10,9,6,2024-07-06
11,"Good Luck, Babe!",Chappell Roan,16,11,12,2024-07-06
12,Pour Me A Drink,Post Malone Featuring Blake Shelton,NEW,12,1,2024-07-06
13,Pink Skies,Zach Bryan,11,6,5,2024-07-06
14,Like That,"Future, Metro Boomin & Kendrick Lamar",14,1,14,2024-07-06
15,Cowgirls,Morgan Wallen Featuring ERNEST,15,15,28,2024-07-06
16,Houdini,Eminem,12,2,4,2024-07-06
17,Fortnight,Taylor Swift Featuring Post Malone,13,1,10,2024-07-06
18,Saturn,SZA,17,6,18,2024-07-06
19,Austin,Dasha,20,19,16,2024-07-06
20,I Remember Everything,Zach Bryan Featuring Kacey Musgraves,22,1,44,2024-07-06
21,Whiskey Whiskey,Moneybagg Yo Featuring Morgan Wallen,21,21,2,2024-07-06
22,Feather,Sabrina Carpenter,23,21,30,2024-07-06
23,We Can't Be Friends (Wait For Your Love),Ariana Grande,19,1,16,2024-07-06
24,Miles On It,Marshmello & Kane Brown,24,21,8,2024-07-06
25,Lunch,Billie Eilish,18,5,6,2024-07-06
26,Wanna Be,GloRilla & Megan Thee Stallion,25,11,12,2024-07-06
27,Lovin On Me,Jack Harlow,26,1,33,2024-07-06
28,High Road,Koe Wetzel & Jessie Murph,27,27,3,2024-07-06
29,The Boy Is Mine,Ariana Grande,74,16,8,2024-07-06
30,Stick Season,Noah Kahan,28,9,39,2024-07-06
31,I Am Not Okay,Jelly Roll,30,30,2,2024-07-06
32,Yeah Glo!,GloRilla,32,28,20,2024-07-06
33,Gata Only,FloyyMenor X Cris Mj,31,27,15,2024-07-06
34,Si Antes Te Hubiera Conocido,Karol G,NEW,34,1,2024-07-06
35,Devil Is A Lie,Tommy Richman,47,35,2,2024-07-06
36,Us.,Gracie Abrams Featuring Taylor Swift,NEW,36,1,2024-07-06
37,Ain't No Love In Oklahoma,Luke Combs,33,23,6,2024-07-06
38,Hot To Go!,Chappell Roan,55,38,4,2024-07-06
39,BAND4BAND,Central Cee & Lil Baby,29,18,5,2024-07-06
40,End Of Beginning,Djo,37,11,19,2024-07-06
41,Slow It Down,Benson Boone,34,34,14,2024-07-06
42,Get It Sexyy,Sexyy Red,38,20,15,2024-07-06
43,Where It Ends,Bailey Zimmerman,43,32,26,2024-07-06
44,Euphoria,Kendrick Lamar,52,3,9,2024-07-06
45,Bulletproof,Nate Smith,40,37,12,2024-07-06
46,Red Wine Supernova,Chappell Roan,54,46,4,2024-07-06
47,TGIF,GloRilla,NEW,47,1,2024-07-06
48,Greedy,Tate McRae,41,3,41,2024-07-06
49,Stargazing,Myles Smith,44,41,7,2024-07-06
50,I Can Do It With A Broken Heart,Taylor Swift,45,3,10,2024-07-06
51,Dirt Cheap,Cody Johnson,53,51,10,2024-07-06
52,Whatever She Wants,Bryson Tiller,48,19,19,2024-07-06
53,You Look Like You Love Me,Ella Langley Featuring Riley Green,NEW,53,1,2024-07-06
54,Chihiro,Billie Eilish,36,12,6,2024-07-06
55,Type Shit,"Future, Metro Boomin, Travis Scott & Playboi Carti",51,2,14,2024-07-06
56,One Of Wun,Gunna,50,26,7,2024-07-06
57,Parking Lot,Mustard & Travis Scott,NEW,57,1,2024-07-06
58,I Like The Way You Kiss Me,Artemas,46,12,14,2024-07-06
59,Illusion,Dua Lipa,60,43,11,2024-07-06
60,Close To You,Gracie Abrams,69,49,3,2024-07-06
61,Nasty,Tinashe,62,61,4,2024-07-06
62,We Ride,Bryan Martin,63,61,12,2024-07-06
63,"Girl, So Confusing",Charli xcx With Lorde,NEW,63,1,2024-07-06
64,Sweet Dreams,Koe Wetzel,49,35,6,2024-07-06
65,Wind Up Missin' You,Tucker Wetmore,67,63,13,2024-07-06
66,Pink Pony Club,Chappell Roan,90,66,2,2024-07-06
67,U My Everything,Sexyy Red & Drake,59,44,5,2024-07-06
68,Down Bad,Taylor Swift,64,2,10,2024-07-06
69,Reloj,Peso Pluma & Ivan Cornejo,NEW,69,1,2024-07-06
70,Kehlani,Jordan Adetunji,NEW,70,1,2024-07-06
71,Remember Him That Way,Luke Combs,35,35,2,2024-07-06
72,After Hours,Kehlani,81,72,5,2024-07-06
73,Si No Quieres No,Luis R Conriquez x Neton Vega,65,53,8,2024-07-06
74,Scared To Start,Michael Marcagi,72,54,19,2024-07-06
75,Wildflower,Billie Eilish,57,17,6,2024-07-06
76,Nights Like This,The Kid LAROI,NEW,76,1,2024-07-06
77,Wine Into Whiskey,Tucker Wetmore,68,68,14,2024-07-06
78,The Door,Teddy Swims,76,76,4,2024-07-06
79,360,Charli xcx,82,73,3,2024-07-06
80,Think I'm In Love With You,Chris Stapleton,66,49,8,2024-07-06
81,feelslikeimfallinginlove,Coldplay,NEW,81,1,2024-07-06
82,Casual,Chappell Roan,NEW,82,1,2024-07-06
83,Beautiful As You,Thomas Rhett,85,83,3,2024-07-06
84,L'amour De Ma Vie,Billie Eilish,70,22,6,2024-07-06
85,Let Your Boys Be Country,Jason Aldean,94,85,3,2024-07-06
86,Who's Afraid Of Little Old Me?,Taylor Swift,83,9,10,2024-07-06
87,Halfway To Hell,Jelly Roll,75,48,12,2024-07-06
88,Belong Together,Mark Ambor,79,74,9,2024-07-06
89,Hang Tight Honey,Lainey Wilson,RE- ENTRY,89,2,2024-07-06
90,Texas Hold 'Em,Beyonce,77,1,20,2024-07-06
91,Vino Tinto,"Peso Pluma, Natanael Cano & Gabito Ballesteros",NEW,91,1,2024-07-06
92,We Don't Fight Anymore,Carly Pearce Featuring Chris Stapleton,RE- ENTRY,67,12,2024-07-06
93,Hell N Back,Bakar Featuring Summer Walker,87,53,12,2024-07-06
94,Risk,Gracie Abrams,NEW,94,1,2024-07-06
95,Chevrolet,Dustin Lynch Featuring Jelly Roll,100,95,2,2024-07-06
96,The Man He Sees In Me,Luke Combs,39,39,3,2024-07-06
97,Brother Stone,Don Toliver Featuring Kodak Black,61,61,2,2024-07-06
98,Guilty As Sin?,Taylor Swift,88,10,10,2024-07-06
99,La Patrulla,Peso Pluma & Neton Vega,NEW,99,1,2024-07-06
100,Bandit,Don Toliver,73,38,18,2024-07-06
